지역,발생일시,복구일시,정전가구
대구광역시 달성군,2021.07.22 14:20 , 2021.07.22 14:21,2000
경기도 남양주시,2021.07.22 14:20 , 2021.07.22 14:40,2000
충청북도 진천군,2021.07.22 14:20 , 2021.07.22 14:38,20000
부산광역시 강서구,2021.07.22 14:20 , 2021.07.22 14:23,2000
강원도 춘천시,2021.07.22 14:20 , 2021.07.22 14:37,2000
부산광역시 사하구,2021.07.22 14:20 , 2021.07.22 14:35,2000
충청북도 충주시,2021.07.22 14:20 , 2021.07.22 14:41,2000
광주광역시 남구,2021.07.22 14:20 , 2021.07.22 14:37,2000
경기도 동두천시,2021.07.22 14:20 , 2021.07.22 14:34,2000
전라남도 장성군,2021.07.22 14:20 , 2021.07.22 14:22,1000
전라남도 장성군,2021.07.22 14:20 , 2021.07.22 14:30,2000
경상북도 포항시 남구,2021.07.22 14:20 , 2021.07.22 14:21,2000
경상북도 봉화군,2021.07.22 14:20 , 2021.07.22 14:18,2000
경상북도 의성군,2021.07.22 14:20 , 2021.07.22 14:22,2000
전라남도 해남군,2021.07.22 14:20 , 2021.07.22 14:39,2000
경상북도 예천군,2021.07.22 14:20 , 2021.07.22 14:18,2000
경상북도 성주군,2021.07.22 14:20 , 2021.07.22 14:20,2000
경상북도 구미시,2021.07.22 14:20 , 2021.07.22 14:39,2000
경상북도 영주시,2021.07.22 14:20 , 2021.07.22 14:19,2000
경상남도 양산시,2021.07.22 14:20 , 2021.07.22 14:39,2000
경상북도 경산시,2021.07.22 14:20 , 2021.07.22 14:22,2000
경상북도 청송군,2021.07.22 14:20 , 2021.07.22 14:18,2000
경상북도 군위군,2021.07.22 14:20 , 2021.07.22 14:19,2000
강원도 강릉시,2021.07.22 14:20 , 2021.07.22 14:36,2000
강원도 횡성군,2021.07.22 14:20 , 2021.07.22 14:39,2000
강원도 강릉시,2021.07.22 14:20 , 2021.07.22 14:40,2000
제주특별자치도 제주시,2021.07.22 14:20 , 2021.07.22 14:23,2000
강원도 철원군,2021.07.22 14:20 , 2021.07.22 14:39,2000
강원도 영월군,2021.07.22 14:20 , 2021.07.22 14:34,2000
강원도 평창군,2021.07.22 14:20 , 2021.07.22 14:38,2000
강원도 인제군,2021.07.22 14:20 , 2021.07.22 14:36,2000
강원도 태백시,2021.07.22 14:20 , 2021.07.22 14:37,2000
강원도 동해시,2021.07.22 14:20 , 2021.07.22 14:36,2000
강원도 원주시,2021.07.22 14:20 , 2021.07.22 14:40,2000
강원도 고성군,2021.07.22 14:20 , 2021.07.22 14:19,2000
경상북도 포항시 북구,2021.07.22 14:19 , 2021.07.22 14:19,2000
경상북도 고령군,2021.07.22 14:19 , 2021.07.22 14:38,2500
경상남도 함안군,2021.07.22 14:19 , 2021.07.22 14:38,2000
경상북도 봉화군,2021.07.22 14:19 , 2021.07.22 14:18,2000
충청북도 제천시,2021.07.22 14:19 , 2021.07.22 14:20,2000
대구광역시 북구,2021.07.22 14:19 , 2021.07.22 14:39,2000
전라남도 구례군,2021.07.22 14:19 , 2021.07.22 14:22,2000
인천광역시 계양구,2021.07.22 14:18 , 2021.07.22 14:36,2000
인천광역시 부평구,2021.07.22 14:18 , 2021.07.22 14:36,2000
인천광역시 강화군,2021.07.22 14:18 , 2021.07.22 14:36,2000
인천광역시 중구,2021.07.22 14:18 , 2021.07.22 14:36,2000
대구광역시 달성군,2021.07.22 14:18 , 2021.07.22 14:20,2000
경기도 시흥시,2021.07.22 14:18 , 2021.07.22 14:36,2000
경기도 시흥시,2021.07.22 14:18 , 2021.07.22 14:36,2000
충청북도 음성군,2021.07.22 14:18 , 2021.07.22 14:22,20000
충청북도 옥천군,2021.07.22 14:18 , 2021.07.22 14:37,2000
인천광역시 서구,2021.07.22 14:18 , 2021.07.22 14:37,2000
경기도 김포시,2021.07.22 14:18 , 2021.07.22 14:35,2000
전라남도 담양군,2021.07.22 14:18 , 2021.07.22 14:38,2000
전라남도 보성군,2021.07.22 14:18 , 2021.07.22 14:23,1000
경상남도 하동군,2021.07.22 14:18 , 2021.07.22 14:38,2000
경상남도 통영시,2021.07.22 14:18 , 2021.07.22 14:36,2000
경상남도 고성군,2021.07.22 14:18 , 2021.07.22 14:38,2000
경상남도 밀양시,2021.07.22 14:18 , 2021.07.22 14:37,2000
경상남도 거창군,2021.07.22 14:18 , 2021.07.22 14:40,2000
강원도 양양군,2021.07.22 14:18 , 2021.07.22 13:00,1000
인천광역시 미추홀구,2021.07.22 14:18 , 2021.07.22 14:36,2000
경기도 부천시,2021.07.22 14:18 , 2021.07.22 14:38,2000
경상남도 창원시 진해구,2021.07.22 14:18 , 2021.07.22 14:37,2000
경상남도 창원시 마산합포구,2021.07.22 14:17 , 2021.07.22 14:16,2001
강원도 태백시,2021.07.22 14:17 , 2021.07.22 14:37,2000
경상남도 진주시,2021.07.22 14:17 , 2021.07.22 14:35,2000
경상남도 통영시,2021.07.22 14:17 , 2021.07.22 14:35,2000
경상북도 경주시,2021.07.22 14:17 , 2021.07.22 14:19,2000
경상남도 합천군,2021.07.22 14:17 , 2021.07.22 14:40,2000
전라북도 익산시,2021.07.22 14:17 , 2021.07.22 14:37,2000
전라북도 임실군,2021.07.22 14:17 , 2021.07.22 14:38,2000
경기도 고양시 덕양구,2021.07.22 14:17 , 2021.07.22 14:34,2000
전라북도 전주시 완산구,2021.07.22 14:17 , 2021.07.22 14:37,2000
전라북도 정읍시,2021.07.22 14:17 , 2021.07.22 14:38,2000
전라북도 순창군,2021.07.22 14:17 , 2021.07.22 14:37,2000
전라북도 장수군,2021.07.22 14:17 , 2021.07.22 14:43,2000
전라북도 남원시,2021.07.22 14:17 , 2021.07.22 14:38,2000
전라북도 전주시 덕진구,2021.07.22 14:17 , 2021.07.22 14:37,2000
경기도 하남시,2021.07.22 14:17 , 2021.07.22 14:31,2000
서울특별시 금천구,2021.07.22 14:17 , 2021.07.22 14:27,2000
전라북도 김제시,2021.07.22 14:17 , 2021.07.22 14:37,2000
전라북도 김제시,2021.07.22 14:17 , 2021.07.22 14:41,2000
전라북도 군산시,2021.07.22 14:17 , 2021.07.22 14:17,2000
전라북도 고창군,2021.07.22 14:17 , 2021.07.22 14:42,2000
전라북도 익산시,2021.07.22 14:17 , 2021.07.22 14:40,2000
전라북도 부안군,2021.07.22 14:17 , 2021.07.22 14:42,2000
전라북도 진안군,2021.07.22 14:17 , 2021.07.22 14:38,2000
인천광역시 옹진군,2021.07.22 14:17 , 2021.07.22 14:36,2000
경기도 양평군,2021.07.22 14:17 , 2021.07.22 14:33,2000
전라북도 무주군,2021.07.22 14:17 , 2021.07.22 14:38,2000
경기도 연천군,2021.07.22 14:16 , 2021.07.22 14:36,2000
서울특별시 서초구,2021.07.22 14:16 , 2021.07.22 14:31,2000
서울특별시 영등포구,2021.07.22 14:16 , 2021.07.22 14:31,2000
경기도 평택시,2021.07.22 14:16 , 2021.07.22 14:27,2000
경상남도 창원시 의창구,2021.07.22 14:16 , 2021.07.22 14:39,2000
강원도 동해시,2021.07.22 14:15 , 2021.07.22 14:20,2000
강원도 홍천군,2021.07.22 14:15 , 2021.07.22 14:20,2000
경기도 고양시 일산동구,2021.07.22 14:15 , 2021.07.22 14:32,2000
경상북도 칠곡군,2021.07.22 14:15 , 2021.07.22 14:20,2000
서울특별시 구로구,2021.07.22 14:15 , 2021.07.22 14:28,2000
서울특별시 강남구,2021.07.22 14:15 , 2021.07.22 14:30,2000
서울특별시 관악구,2021.07.22 14:15 , 2021.07.22 14:25,2000
경기도 의정부시,2021.07.22 14:15 , 2021.07.22 14:38,2000
서울특별시 강북구,2021.07.22 14:14 , 2021.07.22 14:28,2000
경기도 가평군,2021.07.22 14:14 , 2021.07.22 14:32,2000
서울특별시 강서구,2021.07.22 14:14 , 2021.07.22 14:26,2000
서울특별시 강남구,2021.07.22 14:14 , 2021.07.22 14:26,2000
서울특별시 강북구,2021.07.22 14:13 , 2021.07.22 14:27,2000
서울특별시 노원구,2021.07.22 14:13 , 2021.07.22 14:26,2000
서울특별시 마포구,2021.07.22 14:13 , 2021.07.22 14:27,2000
서울특별시 성동구,2021.07.22 14:13 , 2021.07.22 14:26,2000
경기도 안양시 만안구,2021.07.22 14:13 , 2021.07.22 14:23,2400
경기도 용인시 수지구,2021.07.22 14:13 , 2021.07.22 14:24,2000
경기도 여주시,2021.07.22 14:12 , 2021.07.22 14:24,2000
경기도 성남시 중원구,2021.07.22 14:12 , 2021.07.22 14:25,2000
전라남도 나주시,2021.07.22 14:12 , 2021.07.22 14:23,1000
경기도 성남시 분당구,2021.07.22 14:12 , 2021.07.22 14:29,2000
서울특별시 은평구,2021.07.22 14:12 , 2021.07.22 14:26,2000
서울특별시 종로구,2021.07.22 14:12 , 2021.07.22 14:26,2000
경기도 광주시,2021.07.22 14:11 , 2021.07.22 14:22,2000
경기도 가평군,2021.07.22 14:10 , 2021.07.22 13:46,2000
서울특별시 동대문구,2021.07.22 14:10 , 2021.07.22 14:22,2000
서울특별시 마포구,2021.07.22 14:10 , 2021.07.22 14:26,2000
충청북도 영동군,2021.07.22 14:10 , 2021.07.22 14:21,2000
경기도 오산시,2021.07.22 14:10 , 2021.07.22 14:19,2000
경기도 파주시,2021.07.22 14:10 , 2021.07.22 14:33,1000
경기도 화성시,2021.07.22 14:10 , 2021.07.22 14:18,2000
경기도 평택시,2021.07.22 14:10 , 2021.07.22 14:19,2000
경기도 평택시,2021.07.22 14:10 , 2021.07.22 14:23,2000
경기도 안성시,2021.07.22 14:10 , 2021.07.22 14:21,2000
경상북도 울릉군,2021.07.22 14:10 , 2021.07.22 14:52,2005
경상북도 울릉군,2021.07.22 14:10 , 2021.07.22 14:44,1005
전라남도 영암군,2021.07.22 14:10 , 2021.07.22 14:38,2000
경상북도 영천시,2021.07.22 14:10 , 2021.07.22 14:21,2100
경상북도 울릉군,2021.07.22 14:10 , 2021.07.22 14:28,2005
경기도 하남시,2021.07.22 14:09 , 2021.07.22 14:18,2000
